,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_category,rental_term,host_type
218,Allach-Untermenzing,48.17912,11.46728,Private room,38.0,1,38,2,0,0,Low price,Short term,Commercial host
219,Allach-Untermenzing,48.18063,11.46759,Private room,44.0,1,58,2,0,0,Low price,Short term,Commercial host
220,Schwabing-Freimann,48.15941,11.58368,Entire home/apt,129.0,4,17,1,332,0,Middle price,Long term,Private host
221,Schwabing-West,48.16187,11.57448,Entire home/apt,129.0,2,24,1,355,0,Middle price,Long term,Private host
222,Ludwigsvorstadt-Isarvorstadt,48.13296,11.55499,Private room,69.0,2,130,1,0,0,Low price,Short term,Private host
223,Schwanthalerhöhe,48.1385,11.52979,Private room,235.0,3,4,2,354,0,High price,Long term,Commercial host
224,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09029,11.49464,Private room,60.0,1,60,1,145,0,Low price,Medium term,Private host
225,Pasing-Obermenzing,48.1597,11.45158,Private room,39.0,1,38,3,326,2,Low price,Long term,Commercial host
226,Ramersdorf-Perlach,48.11678,11.60533,Private room,28.0,21,60,2,31,3,Low price,Short term,Commercial host
227,Ramersdorf-Perlach,48.11708,11.60471,Private room,35.0,21,70,2,149,0,Low price,Medium term,Commercial host
228,Allach-Untermenzing,48.19147,11.45172,Private room,120.0,1,0,1,365,0,Middle price,Long term,Private host
229,Obergiesing,48.1155,11.58079,Private room,45.0,2,226,1,20,10,Low price,Short term,Private host
230,Pasing-Obermenzing,48.14715,11.46045,Shared room,263.0,1,1,1,179,0,High price,Medium term,Private host
231,Milbertshofen-Am Hart,48.18311,11.56932,Entire home/apt,240.0,3,0,1,365,0,High price,Long term,Private host
232,Ramersdorf-Perlach,48.08862,11.67304,Entire home/apt,44.0,3,120,4,172,0,Low price,Medium term,Commercial host
233,Ramersdorf-Perlach,48.08864,11.67494,Entire home/apt,45.0,3,185,4,165,0,Low price,Medium term,Commercial host
234,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.10417,11.54607,Private room,47.0,20,146,1,267,3,Low price,Long term,Private host
235,Sendling-Westpark,48.11124,11.53343,Private room,80.0,3,8,1,365,0,Middle price,Long term,Private host
